,road_temp_set_4,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,road_temp_set_3,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
21,11.7,2018-08-01 06:15:00,NE,23.3,1.8,12.5,3.39,89160.0,104393.76,,45.0,35.0,0.9,103674.72,19.3,ODT22,4298,-122.60288,42.06332
22,11.7,2018-08-01 06:30:00,NE,23.0,2.2,12.5,3.03,89160.0,104393.76,,45.0,35.0,0.9,103695.85,18.9,ODT22,4298,-122.60288,42.06332
23,11.7,2018-08-01 06:45:00,NE,22.7,2.7,12.5,2.99,89160.0,104393.76,,45.0,36.0,0.9,103722.32,18.4,ODT22,4298,-122.60288,42.06332
24,11.7,2018-08-01 07:15:00,E,22.2,2.7,12.5,3.25,89160.0,104393.76,,90.0,36.0,0.4,103706.41,18.7,ODT22,4298,-122.60288,42.06332
25,11.7,2018-08-01 07:30:00,NE,22.0,2.7,12.5,3.17,89160.0,104393.76,,45.0,36.0,1.3,103711.71,18.6,ODT22,4298,-122.60288,42.06332
26,11.7,2018-08-01 07:45:00,NE,21.7,2.7,12.5,2.72,88990.0,104194.72,,45.0,36.0,0.9,103540.47,18.1,ODT22,4298,-122.60288,42.06332
27,11.7,2018-08-01 08:00:00,E,21.6,2.7,12.5,2.84,89160.0,104393.76,,90.0,37.0,0.9,103754.23,17.8,ODT22,4298,-122.60288,42.06332
28,11.7,2018-08-01 08:15:00,E,21.4,2.7,12.5,2.57,89060.0,104276.68,,90.0,37.0,,103653.85,17.5,ODT22,4298,-122.60288,42.06332
29,11.7,2018-08-01 08:30:00,NE,21.1,1.8,12.5,2.86,89060.0,104276.68,,45.0,38.0,,103659.17,17.4,ODT22,4298,-122.60288,42.06332
30,11.7,2018-08-01 09:00:00,E,20.8,0.9,12.5,2.68,89160.0,104393.76,,90.0,39.0,,103807.71,16.8,ODT22,4298,-122.60288,42.06332
31,11.7,2018-08-01 09:15:00,NE,20.5,1.3,12.5,2.68,88990.0,104194.72,,45.0,39.0,0.4,103609.78,16.8,ODT22,4298,-122.60288,42.06332
32,11.7,2018-08-01 09:30:00,E,20.4,0.9,12.5,2.59,89160.0,104393.76,,90.0,39.0,0.4,103813.08,16.7,ODT22,4298,-122.60288,42.06332
33,11.7,2018-08-01 09:45:00,NE,20.4,0.9,12.5,2.68,89160.0,104393.76,,45.0,39.0,0.4,103807.71,16.8,ODT22,4298,-122.60288,42.06332
34,11.7,2018-08-01 10:15:00,NE,19.9,1.3,12.5,2.68,89060.0,104276.68,,45.0,39.0,0.4,103691.28,16.8,ODT22,4298,-122.60288,42.06332
35,11.7,2018-08-01 10:30:00,NE,19.8,0.9,12.5,2.5,89710.0,105037.73,,45.0,39.0,0.4,104458.88,16.6,ODT22,4298,-122.60288,42.06332
36,11.7,2018-08-01 10:45:00,E,19.5,0.9,12.5,2.68,88990.0,104194.72,,90.0,40.0,0.4,103631.23,16.4,ODT22,4298,-122.60288,42.06332
37,11.7,2018-08-01 11:00:00,SE,19.3,0.9,12.5,2.59,89060.0,104276.68,,135.0,40.0,0.4,103718.13,16.3,ODT22,4298,-122.60288,42.06332
38,11.7,2018-08-01 11:15:00,E,19.2,1.3,12.5,2.68,89060.0,104276.68,,90.0,40.0,,103712.75,16.4,ODT22,4298,-122.60288,42.06332
39,11.7,2018-08-01 11:30:00,E,19.1,0.9,12.5,2.68,89160.0,104393.76,,90.0,40.0,0.4,103829.2,16.4,ODT22,4298,-122.60288,42.06332
40,11.7,2018-08-01 11:45:00,SE,18.9,1.3,12.5,2.41,89160.0,104393.76,,135.0,40.0,0.9,103845.38,16.1,ODT22,4298,-122.60288,42.06332
41,11.7,2018-08-01 12:15:00,SE,18.7,0.9,12.5,2.49,89160.0,104393.76,,135.0,41.0,0.4,103861.58,15.8,ODT22,4298,-122.60288,42.06332
42,11.7,2018-08-01 12:30:00,SE,18.5,0.9,12.5,2.4,89160.0,104393.76,,135.0,41.0,0.4,103866.99,15.7,ODT22,4298,-122.60288,42.06332
43,11.7,2018-08-01 12:45:00,SE,18.5,0.4,12.5,2.47,89160.0,104393.76,,135.0,42.0,0.4,103883.24,15.4,ODT22,4298,-122.60288,42.06332
44,11.7,2018-08-01 13:00:00,SE,18.3,0.4,12.5,2.19,89160.0,104393.76,,135.0,42.0,0.4,103899.53,15.1,ODT22,4298,-122.60288,42.06332
45,11.7,2018-08-01 13:30:00,NE,18.4,0.4,12.5,2.8,89160.0,104393.76,,45.0,43.0,0.4,103883.22,15.4,ODT22,4298,-122.60288,42.06332
46,11.7,2018-08-01 13:45:00,E,18.6,0.9,12.5,2.8,89160.0,104393.76,,90.0,43.0,0.4,103883.22,15.4,ODT22,4298,-122.60288,42.06332
47,11.7,2018-08-01 14:00:00,NE,19.7,1.3,12.5,3.16,89160.0,104393.76,,45.0,43.0,0.4,103861.55,15.8,ODT22,4298,-122.60288,42.06332
48,11.7,2018-08-01 14:30:00,NE,20.8,1.3,12.5,3.53,89160.0,104393.76,,45.0,43.0,0.9,103839.94,16.2,ODT22,4298,-122.60288,42.06332
49,11.7,2018-08-01 15:00:00,NE,22.9,1.8,12.5,4.12,89160.0,104393.76,,45.0,41.0,1.3,103764.83,17.6,ODT22,4298,-122.60288,42.06332
50,11.7,2018-08-01 15:15:00,NE,23.6,2.7,12.5,4.4,89160.0,104393.76,,45.0,40.0,1.8,103727.56,18.3,ODT22,4298,-122.60288,42.06332
51,11.7,2018-08-01 15:30:00,NE,24.7,2.2,12.5,4.39,89160.0,104393.76,,45.0,39.0,1.3,103706.36,18.7,ODT22,4298,-122.60288,42.06332
52,11.7,2018-08-01 15:45:00,NE,25.8,2.7,12.5,4.84,89160.0,104393.76,,45.0,39.0,1.3,103679.92,19.2,ODT22,4298,-122.60288,42.06332
53,11.7,2018-08-01 16:15:00,NE,28.1,2.7,12.5,5.1,89160.0,104393.76,,45.0,38.0,1.8,103643.08,19.9,ODT22,4298,-122.60288,42.06332
54,11.7,2018-08-01 16:30:00,NE,29.3,3.1,12.5,5.28,89160.0,104393.76,,45.0,38.0,1.8,103632.59,20.1,ODT22,4298,-122.60288,42.06332
55,11.7,2018-08-01 16:45:00,NE,,3.6,12.5,5.25,89060.0,104276.68,,45.0,37.0,2.7,103495.45,20.5,ODT22,4298,-122.60288,42.06332
56,11.7,2018-08-01 17:00:00,NE,,3.6,12.5,5.7,88990.0,104194.72,,45.0,37.0,2.7,103388.06,21.0,ODT22,4298,-122.60288,42.06332
57,11.7,2018-08-01 17:15:00,NE,,4.0,12.5,6.33,89060.0,104276.68,,45.0,37.0,1.8,103433.04,21.7,ODT22,4298,-122.60288,42.06332
58,11.7,2018-08-01 17:45:00,NE,,4.0,12.5,6.82,89160.0,104393.76,,45.0,36.0,2.7,103497.54,22.7,ODT22,4298,-122.60288,42.06332
59,11.7,2018-08-01 18:00:00,NE,,3.6,12.5,7.21,89160.0,104393.76,,45.0,35.0,1.3,103451.39,23.6,ODT22,4298,-122.60288,42.06332
60,11.7,2018-08-01 18:15:00,N,,4.0,12.5,6.17,89160.0,104393.76,,0.0,34.0,1.8,103487.3,22.9,ODT22,4298,-122.60288,42.06332
61,11.7,2018-08-01 18:30:00,NE,,4.5,12.5,6.86,89160.0,104393.76,,45.0,35.0,1.8,103471.88,23.2,ODT22,4298,-122.60288,42.06332
62,11.7,2018-08-01 18:45:00,E,,3.6,12.5,7.06,89160.0,104393.76,,90.0,34.0,0.4,103436.09,23.9,ODT22,4298,-122.60288,42.06332
63,11.7,2018-08-01 19:00:00,NE,,4.0,12.5,7.23,89230.0,104475.72,,45.0,34.0,2.2,103507.09,24.1,ODT22,4298,-122.60288,42.06332
64,11.7,2018-08-01 19:30:00,NE,,4.9,12.5,7.33,89230.0,104475.72,,45.0,33.0,1.8,103476.58,24.7,ODT22,4298,-122.60288,42.06332
65,11.7,2018-08-01 19:45:00,NE,,3.6,12.5,7.42,89160.0,104393.76,,45.0,33.0,1.8,103390.33,24.8,ODT22,4298,-122.60288,42.06332
66,11.7,2018-08-01 20:00:00,SE,,5.4,12.5,7.68,89160.0,104393.76,,135.0,33.0,1.3,103375.13,25.1,ODT22,4298,-122.60288,42.06332
67,11.7,2018-08-01 20:15:00,NE,,4.9,12.5,7.85,89160.0,104393.76,,45.0,32.0,2.2,103339.82,25.8,ODT22,4298,-122.60288,42.06332
68,11.7,2018-08-01 20:30:00,NE,,4.9,12.5,7.67,89160.0,104393.76,,45.0,32.0,1.8,103349.9,25.6,ODT22,4298,-122.60288,42.06332
69,11.7,2018-08-01 20:45:00,NE,,4.0,12.5,7.94,88990.0,104194.72,,45.0,32.0,1.8,103137.76,25.9,ODT22,4298,-122.60288,42.06332
70,11.7,2018-08-01 21:15:00,NE,,5.4,12.5,7.94,88990.0,104194.72,,45.0,32.0,3.1,103137.76,25.9,ODT22,4298,-122.60288,42.06332
71,11.7,2018-08-01 21:30:00,E,,4.9,12.5,8.55,89160.0,104393.76,,90.0,32.0,1.8,103299.65,26.6,ODT22,4298,-122.60288,42.06332
72,11.7,2018-08-01 21:45:00,NE,,4.5,12.5,8.73,89160.0,104393.76,26.37,45.0,32.0,1.8,103289.64,26.8,ODT22,4298,-122.60288,42.06332
73,11.7,2018-08-01 22:00:00,NE,,4.0,12.5,8.88,89160.0,104393.76,26.79,45.0,31.0,0.9,103254.76,27.5,ODT22,4298,-122.60288,42.06332
74,11.7,2018-08-01 22:30:00,SE,,4.0,12.5,8.7,89160.0,104393.76,26.65,135.0,31.0,0.9,103264.72,27.3,ODT22,4298,-122.60288,42.06332
75,11.7,2018-08-01 22:45:00,NE,,5.4,12.5,8.39,89160.0,104393.76,26.74,45.0,30.0,2.7,103254.79,27.5,ODT22,4298,-122.60288,42.06332
76,11.7,2018-08-01 23:00:00,E,,4.9,12.5,8.33,89160.0,104393.76,27.05,90.0,29.0,1.8,103229.99,28.0,ODT22,4298,-122.60288,42.06332
77,11.7,2018-08-01 23:30:00,NE,,6.3,12.5,7.9,89160.0,104393.76,26.7,45.0,29.0,4.5,103254.82,27.5,ODT22,4298,-122.60288,42.06332
78,11.7,2018-08-01 23:45:00,E,,8.5,12.5,7.98,89230.0,104475.72,26.77,90.0,29.0,2.2,103330.91,27.6,ODT22,4298,-122.60288,42.06332
79,11.7,2018-08-02 00:00:00,NE,,8.5,12.5,7.55,89230.0,104475.72,26.62,45.0,29.0,5.4,103355.83,27.1,ODT22,4298,-122.60288,42.06332
80,11.7,2018-08-02 00:15:00,NE,,7.6,12.5,6.78,89160.0,104393.76,26.27,45.0,28.0,5.4,103289.76,26.8,ODT22,4298,-122.60288,42.06332
81,11.7,2018-08-02 00:30:00,NE,,7.2,12.5,6.16,89230.0,104475.72,26.13,45.0,27.0,4.0,103375.89,26.7,ODT22,4298,-122.60288,42.06332
82,11.7,2018-08-02 00:45:00,NE,,7.2,12.5,5.82,89160.0,104393.76,,45.0,27.0,4.0,103314.83,26.3,ODT22,4298,-122.60288,42.06332
83,11.7,2018-08-02 01:00:00,NE,,6.3,12.5,6.34,89160.0,104393.76,,45.0,28.0,2.7,103314.8,26.3,ODT22,4298,-122.60288,42.06332
84,11.7,2018-08-02 01:30:00,SE,,3.6,12.5,6.08,89060.0,104276.68,,135.0,28.0,1.8,103213.98,26.0,ODT22,4298,-122.60288,42.06332
85,11.7,2018-08-02 01:45:00,NE,,4.9,12.5,5.21,89160.0,104393.76,,45.0,28.0,2.7,103380.33,25.0,ODT22,4298,-122.60288,42.06332
86,11.7,2018-08-02 02:15:00,NE,,5.4,12.5,4.78,89060.0,104276.68,,45.0,28.0,2.7,103289.71,24.5,ODT22,4298,-122.60288,42.06332
87,11.7,2018-08-02 02:30:00,NE,,4.5,12.5,4.85,89160.0,104393.76,,45.0,29.0,1.3,103431.11,24.0,ODT22,4298,-122.60288,42.06332
88,11.7,2018-08-02 02:45:00,SE,29.8,3.1,12.5,4.81,89060.0,104276.68,,135.0,30.0,1.3,103345.71,23.4,ODT22,4298,-122.60288,42.06332
89,11.7,2018-08-02 03:15:00,E,28.0,2.2,12.5,3.88,89060.0,104276.68,,90.0,31.0,0.9,103428.0,21.8,ODT22,4298,-122.60288,42.06332
90,11.7,2018-08-02 03:30:00,SE,27.4,4.5,12.5,3.7,89160.0,104393.76,,135.0,31.0,1.8,103554.5,21.6,ODT22,4298,-122.60288,42.06332
91,11.7,2018-08-02 03:45:00,NE,26.9,4.0,12.5,3.17,89160.0,104393.76,,45.0,31.0,1.3,103585.69,21.0,ODT22,4298,-122.60288,42.06332
92,11.7,2018-08-02 04:15:00,SE,25.7,4.0,12.5,3.27,89160.0,104393.76,,135.0,32.0,2.2,103606.54,20.6,ODT22,4298,-122.60288,42.06332
93,11.7,2018-08-02 04:30:00,NE,25.3,5.4,12.5,3.27,89160.0,104393.76,,45.0,32.0,3.6,103606.54,20.6,ODT22,4298,-122.60288,42.06332
94,11.7,2018-08-02 04:45:00,NE,24.7,,12.5,3.18,89160.0,104393.76,,45.0,32.0,2.7,103611.77,20.5,ODT22,4298,-122.60288,42.06332
95,11.7,2018-08-02 05:00:00,E,24.4,6.3,12.5,3.53,89160.0,104393.76,,90.0,33.0,1.3,103616.97,20.4,ODT22,4298,-122.60288,42.06332
96,11.7,2018-08-02 05:15:00,E,24.1,5.8,12.5,3.0,89060.0,104276.68,,90.0,33.0,2.7,103532.19,19.8,ODT22,4298,-122.60288,42.06332
97,11.7,2018-08-02 05:45:00,E,23.2,2.7,12.5,2.59,89060.0,104276.68,,90.0,35.0,1.3,103606.01,18.4,ODT22,4298,-122.60288,42.06332
98,11.7,2018-08-02 06:00:00,E,22.9,2.7,12.5,2.63,89060.0,104276.68,,90.0,36.0,0.9,103627.23,18.0,ODT22,4298,-122.60288,42.06332
99,11.7,2018-08-02 06:15:00,E,22.6,2.2,12.5,2.75,89060.0,104276.68,,90.0,37.0,0.9,103643.19,17.7,ODT22,4298,-122.60288,42.06332
100,11.7,2018-08-02 06:30:00,E,22.4,2.7,12.5,3.13,89060.0,104276.68,,90.0,38.0,1.3,103643.17,17.7,ODT22,4298,-122.60288,42.06332
101,11.7,2018-08-02 07:00:00,SE,21.8,2.2,12.5,3.58,88990.0,104194.72,,135.0,39.0,1.3,103556.36,17.8,ODT22,4298,-122.60288,42.06332
102,11.7,2018-08-02 07:15:00,SE,21.8,1.8,12.5,3.22,89160.0,104393.76,,135.0,39.0,0.4,103775.55,17.4,ODT22,4298,-122.60288,42.06332
103,11.7,2018-08-02 07:30:00,E,21.5,2.2,12.5,3.4,89160.0,104393.76,,90.0,40.0,0.9,103786.24,17.2,ODT22,4298,-122.60288,42.06332
104,11.7,2018-08-02 08:00:00,E,21.1,2.7,12.5,3.83,88990.0,104194.72,,90.0,42.0,0.4,103604.37,16.9,ODT22,4298,-122.60288,42.06332
105,11.7,2018-08-02 08:15:00,SE,20.9,1.8,12.5,3.98,89230.0,104475.72,,135.0,43.0,0.4,103894.52,16.7,ODT22,4298,-122.60288,42.06332
106,11.7,2018-08-02 08:30:00,E,20.6,1.8,12.5,4.13,88990.0,104194.72,,90.0,44.0,0.4,103625.79,16.5,ODT22,4298,-122.60288,42.06332
107,11.7,2018-08-02 08:45:00,E,20.5,1.8,12.5,4.27,89060.0,104276.68,,90.0,45.0,0.4,103718.05,16.3,ODT22,4298,-122.60288,42.06332
108,11.7,2018-08-02 09:00:00,E,20.1,1.8,12.5,4.4,89160.0,104393.76,,90.0,46.0,0.4,103845.29,16.1,ODT22,4298,-122.60288,42.06332
109,11.7,2018-08-02 09:30:00,NE,19.7,1.3,12.5,5.14,89160.0,104393.76,,45.0,50.0,0.4,103872.27,15.6,ODT22,4298,-122.60288,42.06332
110,11.7,2018-08-02 09:45:00,NE,19.6,1.3,12.5,5.52,89160.0,104393.76,,45.0,52.0,0.4,103883.08,15.4,ODT22,4298,-122.60288,42.06332
111,11.7,2018-08-02 10:00:00,NE,19.5,1.3,12.5,5.61,89160.0,104393.76,,45.0,52.0,0.9,103877.66,15.5,ODT22,4298,-122.60288,42.06332
112,11.7,2018-08-02 10:15:00,NE,19.3,1.8,12.5,5.7,89160.0,104393.76,,45.0,53.0,0.9,103888.5,15.3,ODT22,4298,-122.60288,42.06332
113,11.7,2018-08-02 10:30:00,NE,19.1,1.8,12.5,5.7,89160.0,104393.76,,45.0,54.0,0.4,103904.79,15.0,ODT22,4298,-122.60288,42.06332
114,11.7,2018-08-02 10:45:00,NE,18.9,0.9,12.5,5.87,89160.0,104393.76,,45.0,55.0,0.9,103910.22,14.9,ODT22,4298,-122.60288,42.06332
115,11.7,2018-08-02 11:15:00,NE,18.5,1.3,12.5,6.2,89160.0,104393.76,,45.0,57.0,0.9,103921.1,14.7,ODT22,4298,-122.60288,42.06332
116,11.7,2018-08-02 11:30:00,NE,18.4,2.7,12.5,6.2,88990.0,104194.72,,45.0,57.0,1.3,103722.95,14.7,ODT22,4298,-122.60288,42.06332
117,11.7,2018-08-02 11:45:00,NE,18.4,1.8,12.5,6.01,89160.0,104393.76,,45.0,57.0,1.3,103932.02,14.5,ODT22,4298,-122.60288,42.06332
118,11.7,2018-08-02 12:00:00,E,18.1,1.3,12.5,6.08,89160.0,104393.76,,90.0,58.0,0.4,103942.94,14.3,ODT22,4298,-122.60288,42.06332
119,11.7,2018-08-02 12:15:00,NE,18.0,2.7,12.5,5.89,89160.0,104393.76,,45.0,58.0,1.3,103953.89,14.1,ODT22,4298,-122.60288,42.06332
120,11.7,2018-08-02 12:30:00,E,17.9,1.3,12.5,5.89,89160.0,104393.76,,90.0,58.0,0.9,103953.89,14.1,ODT22,4298,-122.60288,42.06332
121,11.7,2018-08-02 12:45:00,NE,17.7,1.3,12.5,5.7,89160.0,104393.76,,45.0,58.0,0.9,103964.85,13.9,ODT22,4298,-122.60288,42.06332
122,11.7,2018-08-02 13:00:00,NE,17.5,1.3,12.5,5.58,89160.0,104393.76,,45.0,59.0,0.9,103986.82,13.5,ODT22,4298,-122.60288,42.06332
123,11.7,2018-08-02 13:30:00,NE,17.4,1.3,12.5,5.82,89160.0,104393.76,,45.0,60.0,0.9,103986.81,13.5,ODT22,4298,-122.60288,42.06332
124,11.7,2018-08-02 13:45:00,E,17.7,1.8,12.5,5.91,89160.0,104393.76,,90.0,60.0,0.4,103981.31,13.6,ODT22,4298,-122.60288,42.06332
125,11.7,2018-08-02 14:00:00,NE,17.9,1.8,12.5,6.2,89160.0,104393.76,,45.0,60.0,0.4,103964.83,13.9,ODT22,4298,-122.60288,42.06332
126,11.7,2018-08-02 14:30:00,NE,19.6,2.7,12.5,6.55,89060.0,104276.68,,45.0,58.0,1.3,103799.08,14.8,ODT22,4298,-122.60288,42.06332
127,11.7,2018-08-02 14:45:00,NE,20.5,1.8,12.5,6.58,89060.0,104276.68,,45.0,57.0,1.3,103782.77,15.1,ODT22,4298,-122.60288,42.06332
128,11.7,2018-08-02 15:00:00,NE,21.7,4.0,12.5,6.51,89060.0,104276.68,,45.0,56.0,1.8,103771.93,15.3,ODT22,4298,-122.60288,42.06332
129,11.7,2018-08-02 15:15:00,NE,22.5,3.6,12.5,6.43,89160.0,104393.76,,45.0,55.0,1.3,103877.61,15.5,ODT22,4298,-122.60288,42.06332
130,11.7,2018-08-02 15:30:00,NE,23.7,4.0,12.5,6.52,88990.0,104194.72,,45.0,55.0,1.8,103674.14,15.6,ODT22,4298,-122.60288,42.06332
131,11.7,2018-08-02 15:45:00,NE,25.0,4.9,12.5,6.63,88990.0,104194.72,,45.0,54.0,1.8,103652.55,16.0,ODT22,4298,-122.60288,42.06332
132,11.7,2018-08-02 16:00:00,NE,26.1,4.9,12.5,6.82,89060.0,104276.68,,45.0,53.0,2.7,103707.16,16.5,ODT22,4298,-122.60288,42.06332
133,11.7,2018-08-02 16:15:00,NE,27.5,4.9,12.5,6.72,89160.0,104393.76,,45.0,51.0,3.6,103796.77,17.0,ODT22,4298,-122.60288,42.06332
134,11.7,2018-08-02 16:45:00,E,,4.0,12.5,7.22,89160.0,104393.76,,90.0,48.0,1.3,103716.79,18.5,ODT22,4298,-122.60288,42.06332
135,11.7,2018-08-02 17:00:00,NE,,4.0,12.5,7.28,89160.0,104393.76,,45.0,47.0,2.2,103695.62,18.9,ODT22,4298,-122.60288,42.06332
136,11.7,2018-08-02 17:15:00,NE,,4.0,12.5,7.52,89060.0,104276.68,,45.0,46.0,2.7,103547.69,19.5,ODT22,4298,-122.60288,42.06332
137,11.7,2018-08-02 17:30:00,NE,,4.9,12.5,7.19,89060.0,104276.68,,45.0,45.0,3.1,103547.71,19.5,ODT22,4298,-122.60288,42.06332
138,11.7,2018-08-02 17:45:00,SE,,4.9,12.5,7.74,89060.0,104276.68,,135.0,45.0,1.3,103516.21,20.1,ODT22,4298,-122.60288,42.06332
139,11.7,2018-08-02 18:00:00,E,,4.5,12.5,7.8,89160.0,104393.76,,90.0,43.0,1.8,103590.65,20.9,ODT22,4298,-122.60288,42.06332
140,11.7,2018-08-02 18:30:00,E,,6.3,12.5,7.64,89160.0,104393.76,,90.0,42.0,2.7,103580.24,21.1,ODT22,4298,-122.60288,42.06332
141,11.7,2018-08-02 18:45:00,E,,3.6,12.5,7.83,89160.0,104393.76,,90.0,40.0,1.8,103528.4,22.1,ODT22,4298,-122.60288,42.06332
142,11.7,2018-08-02 19:00:00,SE,,7.2,12.5,7.64,89160.0,104393.76,,135.0,39.0,1.3,103518.09,22.3,ODT22,4298,-122.60288,42.06332
143,11.7,2018-08-02 19:15:00,NE,,7.6,12.5,7.73,89160.0,104393.76,,45.0,39.0,1.8,103512.93,22.4,ODT22,4298,-122.60288,42.06332
144,11.7,2018-08-02 19:30:00,NE,,5.4,12.5,7.88,89160.0,104393.76,,45.0,38.0,2.2,103482.07,23.0,ODT22,4298,-122.60288,42.06332
145,11.7,2018-08-02 19:45:00,NE,,6.3,12.5,8.03,89160.0,104393.76,,45.0,37.0,4.0,103451.34,23.6,ODT22,4298,-122.60288,42.06332
146,11.7,2018-08-02 20:15:00,N,,7.6,12.5,7.22,89160.0,104393.76,,0.0,37.0,4.9,103497.52,22.7,ODT22,4298,-122.60288,42.06332
147,11.7,2018-08-02 20:30:00,NE,,8.5,12.5,8.03,89160.0,104393.76,,45.0,37.0,4.0,103451.34,23.6,ODT22,4298,-122.60288,42.06332
148,11.7,2018-08-02 20:45:00,NE,,6.7,12.5,7.66,89160.0,104393.76,,45.0,35.0,4.0,103425.86,24.1,ODT22,4298,-122.60288,42.06332
149,11.7,2018-08-02 21:00:00,NE,,8.0,12.5,7.23,89160.0,104393.76,,45.0,34.0,3.6,103425.89,24.1,ODT22,4298,-122.60288,42.06332
150,11.7,2018-08-02 21:15:00,NE,,7.2,12.5,6.8,89160.0,104393.76,,45.0,33.0,4.9,103425.91,24.1,ODT22,4298,-122.60288,42.06332
151,11.7,2018-08-02 21:30:00,NE,,7.2,12.5,6.6,89160.0,104393.76,,45.0,31.0,3.6,103385.31,24.9,ODT22,4298,-122.60288,42.06332
152,11.7,2018-08-02 22:00:00,NE,,8.9,12.5,5.86,89160.0,104393.76,,45.0,30.0,5.4,103400.55,24.6,ODT22,4298,-122.60288,42.06332
153,11.7,2018-08-02 22:15:00,NE,,8.0,12.5,5.95,89160.0,104393.76,,45.0,30.0,5.4,103395.48,24.7,ODT22,4298,-122.60288,42.06332
154,11.7,2018-08-02 22:30:00,N,,8.0,12.5,6.47,89160.0,104393.76,,0.0,30.0,3.6,103365.1,25.3,ODT22,4298,-122.60288,42.06332
